server time,value,UM,board time,latitude,longitude
2022-06-29 15:28:10.620,147,,2022-06-29 15:28:10.570,,
2022-06-29 15:29:12.593,143,,2022-06-29 15:29:12.540,,
2022-06-29 15:30:16.317,139,,2022-06-29 15:30:14.277,,
2022-06-29 15:31:18.810,135,,2022-06-29 15:31:18.763,,
2022-06-29 15:32:20.640,132,,2022-06-29 15:32:20.603,,
2022-06-29 15:33:22.417,129,,2022-06-29 15:33:22.367,,
2022-06-29 15:34:24.303,126,,2022-06-29 15:34:24.253,,
2022-06-29 15:35:26.433,123,,2022-06-29 15:35:26.393,,
2022-06-29 15:36:28.127,120,,2022-06-29 15:36:28.070,,
2022-06-29 15:37:29.940,118,,2022-06-29 15:37:29.897,,
2022-06-29 15:38:31.747,115,,2022-06-29 15:38:31.700,,
2022-06-29 15:39:34.180,113,,2022-06-29 15:39:34.137,,
2022-06-29 15:40:36.587,111,,2022-06-29 15:40:36.523,,
2022-06-29 15:41:38.370,109,,2022-06-29 15:41:38.300,,
2022-06-29 15:42:40.743,107,,2022-06-29 15:42:40.647,,
2022-06-29 15:43:42.650,105,,2022-06-29 15:43:42.597,,
2022-06-29 15:44:44.353,103,,2022-06-29 15:44:44.307,,
2022-06-29 15:45:46.177,101,,2022-06-29 15:45:46.110,,
2022-06-29 15:46:47.887,100,,2022-06-29 15:46:47.833,,
2022-06-29 15:47:49.613,98,,2022-06-29 15:47:49.560,,
2022-06-29 15:48:51.667,98,,2022-06-29 15:48:51.607,,
2022-06-29 15:49:53.473,98,,2022-06-29 15:49:53.383,,
2022-06-29 15:50:55.453,98,,2022-06-29 15:50:55.407,,
2022-06-29 15:51:57.303,99,,2022-06-29 15:51:57.250,,
2022-06-29 15:52:59.493,99,,2022-06-29 15:52:58.977,,
2022-06-29 15:54:00.797,99,,2022-06-29 15:54:00.747,,
2022-06-29 15:55:02.960,99,,2022-06-29 15:55:02.867,,
2022-06-29 15:56:04.660,99,,2022-06-29 15:56:04.607,,
2022-06-29 15:57:06.433,99,,2022-06-29 15:57:06.377,,
2022-06-29 15:58:08.287,99,,2022-06-29 15:58:08.233,,
2022-06-29 15:59:10.457,99,,2022-06-29 15:59:10.000,,
2022-06-29 16:00:11.877,99,,2022-06-29 16:00:11.823,,
2022-06-29 16:01:14.467,99,,2022-06-29 16:01:14.423,,
2022-06-29 16:02:16.227,99,,2022-06-29 16:02:16.177,,
2022-06-29 16:03:19.567,99,,2022-06-29 16:03:19.507,,
2022-06-29 16:04:21.937,99,,2022-06-29 16:04:21.887,,
2022-06-29 16:05:24.867,99,,2022-06-29 16:05:24.737,,
2022-06-29 16:06:28.727,99,,2022-06-29 16:06:28.670,,
2022-06-29 16:07:31.153,100,,2022-06-29 16:07:31.103,,
2022-06-29 16:08:34.197,100,,2022-06-29 16:08:34.153,,
2022-06-29 16:09:35.913,100,,2022-06-29 16:09:35.847,,
2022-06-29 16:10:37.637,99,,2022-06-29 16:10:37.590,,
2022-06-29 16:11:39.947,99,,2022-06-29 16:11:39.863,,
2022-06-29 16:12:42.557,100,,2022-06-29 16:12:42.510,,
2022-06-29 16:13:46.537,99,,2022-06-29 16:13:46.477,,
2022-06-29 16:14:48.510,100,,2022-06-29 16:14:48.457,,
2022-06-29 16:15:50.367,100,,2022-06-29 16:15:50.313,,
2022-06-29 16:16:52.167,99,,2022-06-29 16:16:52.113,,
